i	0
i	0.068
i	0.559
i	0.625
i	1.345
i	1.588
i	2.729
i	2.978
i	3.898
t	4.575
i	9.23
i	10.6
i	10.75
i	11.935
i	14.193
i	15.864
i	16.732
i	16.864
i	17.765
i	19.42
t	22.386
i	24.137
i	24.606
i	24.974
h	27.4285
t	28.522
h	28.5864
h	28.7375
h	28.793
i	28.926
i	29.579
i	31.438
i	33.068
h	33.41
i	33.977
h	34.6032
i	35.23
i	35.389
i	36.167
i	36.959
h	36.9996
h	37.76
t	38.088
h	38.1545
i	38.262
i	38.779
i	39.568
h	39.9421
i	41.065
i	41.793
i	43.606
h	43.8109
h	46.6154
t	47.77
i	47.856
h	48.0798
i	48.103
h	48.9699
h	49.101
t	49.436
i	51.293
i	51.737
h	52.7607
i	52.886
i	52.889
i	53.695
i	54.765
i	55.984
h	56.8351
h	57.0814
i	58.159
t	58.325
i	60.182
i	61.804
t	61.83
i	62
h	62.7415
t	63.1083
h	63.1696
t	63.449
i	63.931
i	63.974
h	64.3708
i	65.645
h	65.7001
t	66.134
h	66.7464
i	67.022
t	67.065
t	67.456
h	67.8703
i	68.499
h	68.6594
i	68.997
i	69.679
i	70.065
i	70.379
h	70.4849
h	70.5323
t	72.023
h	72.1188
h	72.2101
i	72.528
i	72.686
i	72.834
i	72.922
t	73.191
i	74.735
i	75.772
t	76.777
h	77.192
i	77.694
h	78.3195
h	79.0737
i	79.116
t	79.922
i	80.014
h	80.4229
h	80.473
t	80.948
h	81.0354
t	81.325
i	81.365
i	81.638
h	81.8338
h	82.6041
i	83.258
i	83.833
i	84.442
t	84.458
t	84.462
h	85.0945
i	85.498
i	85.962
t	86.399
t	86.617
h	86.9459
h	88.1383
h	88.3735
h	90.2861
t	90.618
h	91.0297
i	91.507
t	92.006
h	92.5389
i	92.539
i	92.554
i	92.586
h	93.2636
i	93.563
t	95.607
h	96.0136
h	97.7283
h	97.9811
i	98.04
h	98.0717
h	99.3572
h	99.3726
h	99.4525
t	99.46
i	100.857
i	100.952
h	102.337
t	102.418
t	102.58
t	102.587
t	105.313
t	105.37
t	106.14
t	106.394
i	106.615
h	106.828
h	107.365
t	107.392
h	108.118
h	108.709
h	108.85
